Date,Initial Search PSMs,Initial Search Peptides,Post-calibration PSMs,Post-calibration Peptides,Post-GPTMD PSMs,Post-GPTMD Peptides,Initial Search Time,Calibration Time,Post-calibration Search Time,GPTMD Time,Post-GPTMD Search Time,Interlink CSMs,Intralink CSMs,Loop CSMs,Deadend CSMs,Crosslink Single PSMs,Crosslink Single Peptides,XL Search Time,Glyco Search PSMs,Glyco Search Peptides,Glyco Search Time,Semispecific PSMs,Semispecific Peptides,Semispecific Search Time,Nonspecific PSMs,Nonspecific Peptides,Nonspecific Search Time,Modern Search PSMs,Modern Search Peptides,Modern Search Time,TopDown Initial PrSMs,TopDown Initial Proteoforms,TopDown Post-calibration PrSMs,TopDown Post-calibration Proteoforms,TopDown Post-averaging PrSMs,TopDown Post-averaging Proteoforms,TopDown Post-GPTMD PrSMs,TopDown Post-GPTMD Proteoforms,TopDown Initial Search Time,TopDown Calibration Time,TopDown Post-calibration Search Time,TopDown Averaging Time,TopDown Post-averaging Search Time,TopDown GPTMD Time,TopDown Post-GPTMD Search Time,InitialSearchProteinGroups
01/20/2019 01:08:33,31268,11435,31307,11844,35212,13041,363.07584959999997,526.4904639,284.92313329999996,951.0207224,352.957153,32,222,114,415,8432,0,43.669671199999996,0,0,0,35790,13022,2481.2970047,5378,4207,2774.0742944,31264,11430,584.0022401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
01/27/2019 01:09:26,31268,11435,31307,11844,35212,13041,378.0270046,552.5981466,292.3174112,951.95718019999993,355.0744769,32,222,114,415,8432,0,45.0754435,0,0,0,35790,13022,2579.4292769999997,5378,4207,2848.161049,31264,11430,592.5517863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
02/10/2019 01:08:20,31268,11435,31307,11844,35212,13041,360.3466765,525.75301919999993,279.22248129999997,955.2585207,351.5711281,32,222,114,415,8432,0,43.9822683,0,0,0,35790,13022,2501.7988296,5378,4207,2751.3469250999997,31264,11430,565.2208828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
02/17/2019 01:07:59,31268,11435,31307,11844,35212,13041,359.4319221,524.1124358,281.2796335,937.7987356,353.455339,32,222,114,415,8432,0,43.899806,0,0,0,35790,13022,2402.4024781,5378,4207,2729.8432396,31264,11430,566.9230033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
02/24/2019 01:08:20,31268,11435,31307,11844,35212,13041,367.4002822,536.0617487,280.1885114,941.58086459999993,351.6475056,32,222,114,415,8432,0,44.6504816,0,0,0,35790,13022,2619.1793253,5378,4207,2818.7040422,31264,11430,582.36566529999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
03/03/2019 01:08:41,31268,11435,31307,11844,35212,13041,363.8311511,529.8454329,276.2974661,954.3403295999999,356.7972867,32,222,114,415,8432,0,45.698609499999996,0,0,0,35790,13022,2485.8608958,5378,4207,2773.2062358999997,31264,11430,562.6875618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
03/10/2019 01:08:36,31268,11435,31307,11844,35212,13041,368.5347774,540.988377,281.8895128,939.3970089,352.8775172,32,222,114,415,8432,0,46.1964439,0,0,0,35790,13022,2604.8172477999997,5378,4207,2784.04711,31264,11430,580.3343467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
03/17/2019 01:07:47,31268,11435,31307,11844,35212,13041,355.3692329,526.1779624,282.2776141,937.7915882,352.0991639,32,222,114,415,8432,0,44.4479913,0,0,0,35790,13022,2521.1779999,5378,4207,2732.7650101,31264,11430,571.7698974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
03/24/2019 01:08:08,31268,11435,31307,11844,35212,13041,363.3709447,528.4588347,278.9780646,945.339797,348.0496652,32,222,114,415,8432,0,45.2236145,0,0,0,35790,13022,2531.0689047,5378,4207,2748.5489764,31264,11430,578.1062343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
03/31/2019 01:21:38,31268,11435,31307,11844,35212,13041,492.6060596,712.8468663,377.45950139999997,1192.1670637,481.1839252,32,222,114,415,8432,0,61.5062838,0,0,0,35790,13022,3383.2830833,5378,4207,3446.6613216,31264,11430,700.2990595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
